#,Company,Symbol,Weight,Price,Chg,% Chg
290,CF Industries Holdings Inc.,CF,0.067553,107.37,2.95,-2.83%
291,eBay Inc.,EBAY,0.067114,37.71,0.09,-0.24%
292,Edison International,EIX,0.067109,55.64,0.7,-1.27%
293,Molina Healthcare Inc.,MOH,0.066939,360.38,6.02,-1.70%
294,Delta Air Lines Inc.,DAL,0.066178,32.58,0.43,-1.34%
295,First Republic Bank,FRC,0.066123,112.35,0.88,-0.79%
296,DTE Energy Company,DTE,0.066009,107.45,1.56,-1.47%
297,Entergy Corporation,ETR,0.06581,102.29,2.32,-2.32%
298,LyondellBasell Industries NV,LYB,0.065298,82.16,3.12,-3.95%
299,Ulta Beauty Inc.,ULTA,0.06451,383.6,2.01,-0.53%
300,Vulcan Materials Company,VMC,0.063668,155.43,6.27,-4.20%
301,FirstEnergy Corp.,FE,0.06359,36.41,0.33,-0.91%
302,Ameren Corporation,AEE,0.063486,77.58,0.96,-1.25%
303,Take-Two Interactive Software Inc.,TTWO,0.063171,125.6,1.71,-1.38%
304,Cardinal Health Inc.,CAH,0.062607,73.03,2.26,-3.19%
305,Nasdaq Inc.,NDAQ,0.062564,58,1.16,-2.04%
306,United Rentals Inc.,URI,0.062549,284.68,9.3,-3.38%
307,Southwest Airlines Co.,LUV,0.062447,33.1,0.29,-0.88%
308,Alexandria Real Estate Equities Inc.,ARE,0.062129,132.05,2.81,-2.17%
309,Marathon Oil Corporation,MRO,0.062106,29.15,0.92,-3.26%
310,Laboratory Corporation of America Holdings,LH,0.061995,211.71,0.55,-0.26%
311,EPAM Systems Inc.,EPAM,0.061937,331.39,-1.15,(-0.35%)
312,Raymond James Financial Inc.,RJF,0.061697,100.99,2.93,-2.99%
313,Huntington Bancshares Incorporated,HBAN,0.061511,14.45,1.25,-9.47%
314,Invitation Homes Inc.,INVH,0.06126,33.1,0.56,-1.72%
315,Tyson Foods Inc. Class A,TSN,0.061248,65.12,0.52,-0.80%
316,Martin Marietta Materials Inc.,MLM,0.061057,315.31,11.08,-3.64%
317,Regions Financial Corporation,RF,0.060341,19.52,-0.22,(-1.11%)
318,Quanta Services Inc.,PWR,0.06015,133.41,2.67,-2.04%
319,PPL Corporation,PPL,0.059669,25.69,0.7,-2.80%
320,Lennar Corporation Class A,LEN,0.059105,73.43,2.05,-2.87%
321,ANSYS Inc.,ANSS,0.058997,214.15,3.64,-1.73%
322,Principal Financial Group Inc.,PFG,0.058966,78.9,1.34,-1.73%
323,Ingersoll Rand Inc.,IR,0.058893,46.79,1.59,-3.52%
324,Equifax Inc.,EFX,0.058882,152.02,1.78,-1.18%
325,Kellogg Company,K,0.058639,72.24,0.48,-0.67%
326,McCormick & Company Incorporated,MKC,0.058331,73.84,1.05,-1.44%
327,Mosaic Company,MOS,0.057768,53.1,1.57,-3.05%
328,Citizens Financial Group Inc.,CFG,0.057332,37.94,2.04,-5.68%
329,SVB Financial Group,SIVB,0.057029,228,-74.46,(-24.62%)
330,Church & Dwight Co. Inc.,CHD,0.056781,73.19,0.98,-1.36%
331,Dover Corporation,DOV,0.055136,124.85,5.75,-4.83%
332,West Pharmaceutical Services Inc.,WST,0.055015,232.88,1.58,-0.68%
333,Mid-America Apartment Communities Inc.,MAA,0.054705,149.53,1.91,-1.29%
334,Waters Corporation,WAT,0.054229,282.12,7.11,-2.59%
335,VeriSign Inc.,VRSN,0.054133,179.15,0.48,-0.27%
336,CenterPoint Energy Inc.,CNP,0.053917,27.01,0.41,-1.54%
337,Hewlett Packard Enterprise Co.,HPE,0.05382,13.47,0.66,-5.15%
338,STERIS Plc,STE,0.053607,167.22,1.37,-0.83%
339,Amcor PLC,AMCR,0.053174,11.3,0.41,-3.76%
340,Conagra Brands Inc.,CAG,0.053086,34.69,0.33,-0.96%
341,Xylem Inc.,XYL,0.052773,93.86,2.82,-3.10%
342,Darden Restaurants Inc.,DRI,0.052632,133.32,1.09,-0.82%
343,Clorox Company,CLX,0.052586,136.25,3.14,-2.36%
344,Broadridge Financial Solutions Inc.,BR,0.052431,140.99,0.59,-0.42%
345,Northern Trust Corporation,NTRS,0.051761,79.67,2.46,-3.19%
346,Quest Diagnostics Incorporated,DGX,0.05171,136.75,2.09,-1.55%
347,PerkinElmer Inc.,PKI,0.051237,130.55,4.62,-3.67%
348,Teledyne Technologies Incorporated,TDY,0.051194,350.48,9.99,-2.93%
349,Cincinnati Financial Corporation,CINF,0.050519,99.24,1.49,-1.52%
350,CMS Energy Corporation,CMS,0.05045,54.43,0.46,-0.85%
351,AES Corporation,AES,0.050331,24.48,1,-4.26%
